Time_Timedelta,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Total_Amount,Avg_Amount,Transaction_Count,Fraud_Count
0 days 00:00:00,-0.214504738,0.081419937,-0.14686217,-0.07861166000000003,-0.316171675,-0.07620228799999995,0.15959552700000001,-0.042227197,0.12498735,-0.09363727200000001,-0.237473754,-0.117654164,0.028787964,-0.106736514,0.185195956,0.20537421799999997,0.061585293,-0.090077678,-0.14327092000000002,0.09697552400000001,0.045600528,-0.05786059,-0.09510479100000001,-0.085512696,0.033611962,0.066418607,0.017992484,-0.08235273700000001,5340.55,55.961707399999995,2.0,0
0 days 00:01:00,-0.214504738,0.081419937,-0.14686217,-0.07861166000000003,-0.316171675,-0.07620228799999995,0.15959552700000001,-0.042227197,0.12498735,-0.09363727200000001,-0.237473754,-0.117654164,0.028787964,-0.106736514,0.185195956,0.20537421799999997,0.061585293,-0.090077678,-0.14327092000000002,0.09697552400000001,0.045600528,-0.05786059,-0.09510479100000001,-0.085512696,0.033611962,0.066418607,0.010559048,-0.08235273700000001,5340.55,55.961707399999995,2.0,0
0 days 00:02:00,0.04560339099999999,-0.05057176699999999,0.099624937,0.154298068,0.356035984,0.255326378,-0.43395996700000006,0.103045232,0.128062799,0.06456607,-0.07594511,0.131585477,0.108634075,-0.095045531,-0.238810407,0.048990956,-0.066387382,0.20885689200000002,0.39171198500000004,0.100533245,0.05726524299999999,-0.067578329,0.089239135,-0.088137253,-0.059295203,0.03701728,0.01090259,0.064103356,-6428.25,-52.11083293,-22.0,0
0 days 00:03:00,0.13009405300000002,0.23306138899999998,0.076221365,-0.18034168899999997,0.06506915,-0.19541132700000002,0.29832413300000005,-0.040819052,-0.377136451,-0.006234696999999997,0.299279403,-0.134842284,-0.225274285,0.188859337,0.013680783,0.014054498000000012,-0.059876796999999995,-0.014336375000000012,-0.124281131,-0.10057385599999999,-0.133949346,0.04165447500000001,-0.074706529,-0.014359129999999998,0.014020945,-0.121207062,0.052002071,0.014252366,-1564.12,-23.39634188,2.0,0
0 days 00:04:00,0.060077238000000005,-0.10063623299999996,0.103723186,0.0002086789999999894,-0.194385437,-0.347782562,-0.06535059100000001,-0.263902335,0.160191198,-0.032369759000000005,-0.236796397,-0.085255844,-0.042844961,-0.110521491,0.145829256,-0.17742016700000002,0.109087198,-0.04969606699999998,-0.184579094,-0.0030953520000000026,-0.148283053,-0.06381417700000001,0.082349082,0.216024646,-0.018999253,0.096094929,0.018756517,-0.049450481,118.99,-6.438527790000002,14.0,0
0 days 00:05:00,0.2076655,-0.24851476700000003,-0.161969268,0.255495108,0.008442247,0.053516655,-0.251906623,0.23508672199999997,-0.133440955,-0.043139475999999996,0.27619197,0.037768169,0.127513928,-0.057958612,-0.022393015,0.209418951,-0.20427879,0.172713142,0.062928476,0.05119985700000001,0.263955445,0.04111601000000001,-0.026466972000000002,-0.14556628300000002,0.094184481,-0.03504249,0.025346822,0.061726148,862.41,17.436811850000005,-11.0,0
0 days 00:06:00,-0.298601406,0.314631514,0.051626649,-0.28400425900000004,-0.040229967,-0.027779441000000002,0.206132389,-0.065267229,0.256935508,0.018533676,-0.168906702,0.01271887,0.049254782,-0.089299862,0.128568978,-0.050311087,0.129117231,-0.179174586,0.038129422999999996,0.05438760599999999,-0.085969553,-0.006637081999999989,-0.067895693,0.07271887199999999,-0.169798551,0.125006328,0.026137763,-0.010963735999999998,-313.24,0.6258646599999977,-6.0,1
0 days 00:07:00,-0.05385733199999998,-0.034278855,-0.020248714,-0.32620414200000003,0.061806252,-0.099554273,0.08738383499999999,-0.072369995,-0.175408889,0.002635433000000003,0.160276477,0.018483216,-0.200829096,0.326663812,-0.129631973,0.014758168000000002,-0.09065958399999999,0.197864562,0.037795704,-0.09991140800000001,0.151053664,0.04050189299999998,0.023629495,-0.150686444,0.123986387,-0.06840336600000001,0.041989433,-0.019809528,-860.92,-12.298857140000003,0.0,1
0 days 00:08:00,0.09931282899999999,-0.171548575,0.072382418,0.277931084,-0.184523393,0.043797974,0.07607456500000001,0.158932708,-0.05802692,-0.10215136,-0.108424949,-0.09262916,0.039102591,-0.247747751,0.049094143,-0.09090115200000001,0.317202157,-0.124001868,-0.005408677000000001,0.053852381,-0.21501824000000003,0.05921335900000001,0.03368055699999999,0.078160638,-0.09819117,0.009777828000000002,0.035000187,0.009154902,4017.23,36.82790476,17.0,0
0 days 00:09:00,0.10032422099999999,0.13013758100000003,-0.254405037,-0.077168237,0.031550458,0.203617471,-0.116355407,-0.077477892,-0.015598229,0.02927132999999999,-0.260826028,0.013744365,0.100383538,0.145555018,-0.030532334,0.08530248300000001,-0.12066558299999999,-0.127455333,-0.162453354,-0.05065307499999999,0.06793694,-0.120974447,0.032999739,0.0005529039999999999,0.095274737,-0.074470214,0.011424003,-0.020121485999999997,-2136.11,-9.954761899999994,-17.0,0
0 days 00:10:00,-0.432714998,0.090922905,0.121307294,0.12912882399999998,-0.033201678,-0.152139508,-0.161844642,0.046966743000000005,0.216594752,0.031158856000000006,0.071483744,0.129385742,-0.107469033,0.075711263,-0.012148823,-0.04895260200000001,0.014579737999999998,0.057144949,0.22354976199999999,-0.022781847000000004,0.037182516,-0.075074474,0.000632096,-0.021932389999999996,-0.068396444,0.056264873,-0.074063752,-0.006272521999999999,-4.62,-13.238218490000008,15.0,0
0 days 00:11:00,0.554282657,-0.07149903900000004,0.028092061,-0.28333685799999997,0.110425778,0.17651065800000001,0.0391035,-0.077580601,0.065527862,-0.073122567,0.0588442,-0.054884125,-0.042165438,0.085552392,0.149454939,0.11881237700000001,-0.272312553,0.099391883,0.16465014,-0.034793176999999995,-0.045012498,0.00670357399999999,-0.060187493,0.048030989999999996,0.012326357,0.007658120999999997,-0.022993934,0.017007675999999996,-2221.87,-22.968942679999998,-7.0,0
0 days 00:12:00,-0.262833739,-0.22224745899999998,-0.020561791,0.16165702099999998,-0.083027057,-0.132222626,0.023296011,-0.037919611000000006,0.004853478,0.313617683,0.330052812,0.048743781,-0.001155897,-0.201798111,-0.132045636,-0.021889713,0.109535434,-0.010819220000000004,-0.219798843,0.044251834,-0.010762662000000001,-0.006504263999999982,-0.046723035999999996,0.05916595,0.065421914,-0.093918998,0.015998545,0.013367317000000002,4052.9,47.547492180000006,4.0,0
0 days 00:13:00,-0.185703356,0.223192287,0.285761546,0.10320016100000001,0.040379285,0.020310719999999997,-0.051601224,-0.11930452099999997,0.049418037,0.02327979599999999,-0.191518262,0.016799286,0.06123108,-0.10706205,-0.06061365,-0.27923061699999996,0.08285851999999999,-0.027546978,-0.36522088399999997,0.09874089600000002,-0.025194906,0.279679911,0.10287447699999999,0.096400858,-0.066102652,0.16264852200000002,0.0175595,-0.014411500999999998,-4136.71,-34.83311297000001,-25.0,0
0 days 00:14:00,0.176051961,0.06420230799999999,-0.087530272,0.204587414,0.099017231,-0.25818379199999997,0.299761071,0.27354476699999997,-0.401906833,-0.17129541199999998,0.08432037,0.103996818,0.246906929,0.244512868,-0.112599154,0.299331582,-0.138588769,-0.093896433,0.515997096,-0.04121023400000001,-0.034900835,-0.186778283,-0.11181478,-0.208813858,0.096975592,-0.059737472,0.006944547,0.0019931539999999987,464.49,0.8425182200000023,8.0,0
0 days 00:15:00,-0.20136015799999998,-0.053121192999999955,-0.182381025,-0.16491832499999998,0.033995184,0.242740816,-0.13366125399999998,-0.051273704999999996,0.216820677,-0.017749852999999996,-0.212257046,-0.111691253,-0.267050984,0.01684023,-0.087329038,-0.048417798,0.066641393,-0.043388625999999986,-0.03395780600000001,0.050329155999999986,0.016408717000000003,0.092425032,0.04599558699999999,0.058371799,-0.139358035,0.053799657,0.023185395,0.058392295,2529.21,13.641692310000003,25.0,0
0 days 00:16:00,0.384669198,-0.037004512000000045,0.023791513,0.090228066,-0.23084342,-0.132596567,0.094558796,0.108490716,-0.132121292,-0.022277061,0.201409821,-0.114527431,-0.070600131,-0.091337228,0.301580166,0.133992673,0.006686701000000003,0.229640245,-0.27272156399999997,-0.03886127499999999,-0.031004920000000005,-0.19634167000000002,0.094600767,-0.174007304,0.07982573,-0.123520536,0.06992469,-0.016179026,-1976.03,5.881272729999992,-35.0,0
0 days 00:17:00,-0.405377592,-0.03614733099999998,-0.007196452,-0.40078659,0.059094312,0.08029579399999999,0.201514608,-0.11424054,0.101736882,-0.252252232,-0.025028456,0.167010949,0.149912392,0.061284874,-0.221634952,-0.003763517000000001,-0.12827951199999998,-0.041242164,0.302638754,-0.020624297,0.009790403000000003,0.06378288600000001,-0.051643246000000004,0.139792486,0.005682764,0.121048124,-0.009936345,-0.07707262100000001,5277.48,25.41293780000001,40.0,0
